date_time,Dry Bulb Temperature [°C],Relative Humidity [%],Wind Speed [m/s],Wind Direction [Deg],Global Horizontal Radiation [W/m2],Direct Normal Radiation [W/m2],Diffuse Horizontal Radiation [W/m2]
2018-08-03 03:00:00,27.4,81.77384615384616,2.295384615384616,76.15384615384616,0.0,0.0,0.0
2018-08-03 04:00:00,26.976923076923075,83.7853846153846,2.138461538461538,45.384615384615394,0.0,0.0,0.0
2018-08-03 05:00:00,26.13076923076923,88.07538461538459,2.5338461538461536,79.23076923076924,0.0,0.0,0.0
2018-08-03 06:00:00,27.01538461538461,83.78923076923077,3.4830769230769234,101.53846153846152,0.0,0.0,0.0
2018-08-03 07:00:00,27.092307692307692,76.39923076923077,2.6515384615384607,122.30769230769228,42.0,89.0,29.5
2018-08-03 08:00:00,28.72307692307692,75.01615384615383,3.957692307692308,107.69230769230772,212.5,376.0,95.0
2018-08-03 09:00:00,29.84615384615385,70.0023076923077,6.093846153846152,113.07692307692308,416.0,531.0,139.0
2018-08-03 10:00:00,30.46923076923077,69.06692307692309,5.9738461538461545,113.84615384615385,626.5,646.0,171.5
2018-08-03 11:00:00,31.784615384615392,61.08615384615385,6.925384615384616,118.46153846153848,818.0,798.0,140.5
2018-08-03 12:00:00,31.93846153846154,62.29615384615384,6.726153846153848,116.92307692307692,908.0,783.5,168.5
2018-08-03 13:00:00,32.323076923076925,60.94153846153846,6.41,116.92307692307692,978.0,842.0,147.5
2018-08-03 14:00:00,32.246153846153845,60.229230769230774,6.845384615384615,113.07692307692308,960.5,848.0,139.0
2018-08-03 15:00:00,32.015384615384605,61.3053846153846,6.568461538461539,110.76923076923076,874.0,827.0,134.5
2018-08-03 16:00:00,31.976923076923075,60.153846153846146,6.6084615384615395,106.92307692307692,717.0,746.0,144.5
2018-08-03 17:00:00,31.20000000000001,62.86384615384616,5.657692307692307,99.23076923076924,541.0,715.5,112.0
2018-08-03 18:00:00,30.8,67.20333333333335,5.8725,98.33333333333331,315.5,551.5,94.5
2018-08-03 19:00:00,28.215384615384608,78.75692307692309,4.590769230769231,73.07692307692308,93.5,187.5,53.5
2018-08-03 20:00:00,28.023076923076925,81.62615384615384,4.750769230769231,86.92307692307692,5.0,16.0,5.0
2018-08-03 21:00:00,27.01538461538461,83.41307692307693,3.0076923076923086,71.53846153846153,0.0,0.0,0.0
2018-08-03 22:00:00,27.65,80.78833333333334,3.6016666666666666,89.16666666666669,0.0,0.0,0.0
2018-08-03 23:00:00,27.98333333333333,79.20833333333336,3.4308333333333336,99.16666666666669,0.0,0.0,0.0
2018-08-04 00:00:00,27.830769230769228,79.37846153846154,3.325384615384615,97.69230769230772,0.0,0.0,0.0
2018-08-04 01:00:00,27.4,81.77384615384616,3.087692307692308,93.84615384615385,0.0,0.0,0.0
2018-08-04 02:00:00,27.830769230769228,79.02384615384616,3.3246153846153845,104.6153846153846,0.0,0.0,0.0
2018-08-04 03:00:00,27.246153846153845,82.50307692307693,2.4523076923076923,114.6153846153846,0.0,0.0,0.0
2018-08-04 04:00:00,26.54615384615385,81.05538461538464,3.6007692307692314,132.30769230769232,0.0,0.0,0.0
2018-08-04 05:00:00,25.96666666666667,83.27083333333334,2.915833333333333,103.33333333333331,0.0,0.0,0.0
2018-08-04 06:00:00,26.161538461538463,82.01538461538463,3.364615384615385,90.76923076923076,0.0,0.0,0.0
2018-08-04 07:00:00,26.98461538461539,80.92999999999998,1.899230769230769,89.23076923076924,34.5,44.0,29.0
2018-08-04 08:00:00,28.49230769230769,79.1023076923077,3.9984615384615374,116.15384615384615,189.5,268.0,104.5
2018-08-04 09:00:00,29.81538461538461,71.32384615384616,5.223076923076921,116.92307692307692,412.5,507.5,150.5
2018-08-04 10:00:00,29.892307692307693,71.00384615384615,5.459999999999999,117.69230769230772,563.0,455.5,242.0
2018-08-04 11:00:00,31.141666666666666,64.78750000000001,6.0858333333333325,113.33333333333331,724.5,552.5,257.5
2018-08-04 12:00:00,31.33333333333333,64.06583333333334,5.658333333333332,105.83333333333331,894.0,744.5,191.5
2018-08-04 13:00:00,31.20000000000001,65.42153846153846,6.133846153846152,109.23076923076924,850.5,590.5,268.0
2018-08-04 14:00:00,31.361538461538462,64.61076923076921,5.657692307692307,105.3846153846154,786.5,476.0,326.5
2018-08-04 15:00:00,31.707692307692305,61.215384615384615,5.934615384615384,107.69230769230772,847.5,768.0,160.5
2018-08-04 16:00:00,31.31538461538461,62.79,6.251538461538463,103.07692307692308,701.0,718.5,150.0
2018-08-04 17:00:00,31.392307692307693,57.618461538461546,6.291538461538463,105.3846153846154,525.0,676.5,118.5
2018-08-04 18:00:00,30.5,65.20083333333334,6.086666666666668,97.5,324.0,588.5,89.5
2018-08-04 19:00:00,28.991666666666664,70.9125,5.829166666666668,99.16666666666669,116.5,321.5,55.0
2018-08-04 20:00:00,28.176923076923078,78.1446153846154,4.512307692307692,102.30769230769228,4.5,15.0,4.5
2018-08-04 21:00:00,28.176923076923078,78.14461538461539,3.72,87.69230769230771,0.0,0.0,0.0
